Yr,Seas,Flt,Gender,Part,Nsamp,f6,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,f28,f30,f32,f34,f36,f38,f40,f42,f44,f46,f48,f50,f52,f54,f56,f58,f60,f62,f64,f66,f68,f70,f72,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72
2013,1,2,0,1,855,0.00233918128654971,0.0175438596491228,0.0233918128654971,0.0701754385964912,0.148538011695906,0.2,0.176608187134503,0.174269005847953,0.0795321637426901,0.0584795321637427,0.0269005847953216,0.00818713450292398,0.00233918128654971,0,0.00233918128654971,0.00116959064327485,0.00233918128654971,0,0,0.00116959064327485,0,0.00116959064327485,0.00233918128654971,0.00116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,2,0,1,623,0.00160513643659711,0.00321027287319422,0.0160513643659711,0.0401284109149278,0.0898876404494382,0.170144462279294,0.184590690208668,0.189406099518459,0.126805778491172,0.0914927768860353,0.0674157303370786,0.0176565008025682,0.00160513643659711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,2,0,1,686,0,0,0.0102040816326531,0.0451895043731778,0.097667638483965,0.158892128279883,0.167638483965015,0.211370262390671,0.174927113702624,0.0918367346938776,0.0306122448979592,0.0087463556851312,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,2,0,1,443,0,0,0.00451467268623025,0.0203160270880361,0.0790067720090293,0.110609480812641,0.158013544018059,0.227990970654628,0.173814898419865,0.135440180586907,0.0519187358916479,0.0225733634311512,0.0112866817155756,0,0,0.00225733634311512,0,0.00225733634311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,2,0,1,142,0,0.00704225352112676,0,0.0704225352112676,0.0704225352112676,0.154929577464789,0.190140845070423,0.246478873239437,0.133802816901408,0.0704225352112676,0.0211267605633803,0.0211267605633803,0.0140845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,2,0,1,213,0,0,0,0,0.0234741784037559,0.07981220657277,0.197183098591549,0.352112676056338,0.2018779342723,0.103286384976526,0.0328638497652582,0.00938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,2,0,1,339,0,0,0.00589970501474926,0,0.0117994100294985,0.0530973451327434,0.123893805309735,0.23598820058997,0.300884955752212,0.168141592920354,0.0648967551622419,0.0176991150442478,0.00884955752212389,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,0,1,424,0,0,0,0.00707547169811321,0.00943396226415094,0.0117924528301887,0.0825471698113208,0.214622641509434,0.290094339622642,0.19811320754717,0.0919811320754717,0.0400943396226415,0.0141509433962264,0.0117924528301887,0.00707547169811321,0.00707547169811321,0.00471698113207547,0.00471698113207547,0.00235849056603774,0,0,0,0,0.00235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,2,0,1,418,0,0.00239234449760766,0.00239234449760766,0.00956937799043062,0.0143540669856459,0.0406698564593301,0.0741626794258373,0.145933014354067,0.248803827751196,0.244019138755981,0.131578947368421,0.0526315789473684,0.0263157894736842,0.00478468899521531,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0.285714285714286,0.285714285714286,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,3,0,1,112,0,0,0,0,0,0,0.023634453781512632,0.043242296918767534,0.1248249299719888,0.2960434173669469,0.310399159663865,0.219012605042017,0.223914565826331,0.1530112044817927,0.24719887955182118,0.060224089635854294,0.018732492997198882,0.05847338935574233,0.0504201680672269,0.0414915966386555,0.0463935574229692,0,0.023634453781512632,0.01383053221288516,0.01383053221288516,0.0267857142857143,0,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,3,0,1,245,0,0,0.00408163265306122,0,0,0.00408163265306122,0.022396650968079516,0.0712715855572998,0.23369963369963362,0.2496075353218212,0.2505494505494507,0.276713762428048,0.240502354788069,0.1427524856096286,0.1517530088958663,0.08079539508110933,0.0354788069073783,0.0489795918367347,0.0489795918367347,0.0326530612244898,0.0204081632653061,0.00408163265306122,0.02815279958137096,0.00408163265306122,0.00816326530612245,0.00816326530612245,0.00408163265306122,0.0204081632653061,0.00816326530612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,3,0,1,67,0,0,0,0,0.0149253731343284,0.00564971751412429,0.02057509064845269,0.0169491525423729,0.096045197740113,0.2081963066025801,0.2691626612699214,0.26789779913989403,0.286449110380302,0.2525508052955558,0.1646007251876214,0.1121511088624673,0.061725271945358,0.0560755544312337,0.0580993338392782,0.00564971751412429,0.0375242431908256,0.0112994350282486,0.0169491525423729,0.0149253731343284,0.00564971751412429,0,0.00564971751412429,0,0.0112994350282486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,3,0,1,50,0,0,0,0,0,0.0181818181818182,0,0.0454545454545455,0.0818181818181818,0.165454545454545,0.1618181818181818,0.1927272727272727,0.1745454545454545,0.1418181818181818,0.1454545454545455,0.12727272727272732,0.1418181818181818,0.1345454545454545,0.1527272727272727,0.0963636363636364,0.058181818181818196,0.0472727272727273,0.02909090909090909,0.0363636363636364,0.00909090909090909,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,3,0,1,74,0,0,0,0.0135135135135135,0.0540540540540541,0.0405405405405405,0.037027027027027,0.0640540540540541,0.035,0.0435135135135135,0.205675675675676,0.1195945945945946,0.217162162162162,0.12256756756756759,0.0385135135135135,0.1425675675675676,0.1025675675675676,0.1740540540540541,0.1340540540540541,0.0735135135135135,0.06851351351351351,0.08,0.055,0.045,0.04,0.03,0.033513513513513504,0.005,0.02,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,3,0,1,236,0,0,0,0,0.00546448087431694,0.01817634528109664,0.0254237288135593,0.027878114291006797,0.0594378067981847,0.10370936371214229,0.1631471705103271,0.1728489395202373,0.19213670464017812,0.1314717051032694,0.1127396499027508,0.1388348615356117,0.1212142261739372,0.06478651477262204,0.1139668426414745,0.0933361118829305,0.0855330184310456,0.0582106140594609,0.073376863943688,0.0843058256923219,0.024868018894137242,0.0485088450495508,0.0109289617486339,0.027878114291006797,0.0109289617486339,0.0127118644067797,0.00423728813559322,0.013939057145503381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,3,0,1,455,0,0,0.0021978021978022,0.0043956043956044,0.00879120879120879,0.00879120879120879,0.0197802197802198,0.0520651762031073,0.0921308576480991,0.12459264873057979,0.1590754073512694,0.2064165719338129,0.1558671213843629,0.1174940002526209,0.1114058355437666,0.10582291271946451,0.1200202096753821,0.12221801187318429,0.1151193633952255,0.0843501326259947,0.07775672603258808,0.0843501326259947,0.06626247315902489,0.05257041808765949,0.018087659466969788,0.038878363016294104,0.0246810660603764,0.0021978021978022,0.0136920550713654,0.00659340659340659,0.0021978021978022,0.0021978021978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,3,0,1,154,0,0,0,0,0,0,0.05,0.0194805194805195,0.075974025974026,0.025974025974026,0.051948051948052,0.0909090909090909,0.1149350649350649,0.0454545454545455,0.1279220779220779,0.1279220779220779,0.0714285714285714,0.1974025974025974,0.1214285714285714,0.1344155844155844,0.0324675324675325,0.201948051948052,0.0324675324675325,0,0.16298701298701299,0.06298701298701301,0.12597402597402602,0.00649350649350649,0.1,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,3,0,1,182,0,0,0,0,0.00549450549450549,0,0.00549450549450549,0.010989010989011,0.0274725274725275,0.07583505603307579,0.18572516592318591,0.18572516592318591,0.19121967141769092,0.1692416494396689,0.07474703514307471,0.0626700032640627,0.0263845065825264,0.0725709933630726,0.06490044608856489,0.16499836796866552,0.08470242628658468,0.07039495158307041,0.12430638668262449,0.03519747579153519,0.0495049504950495,0.0792079207920792,0.07480143618757479,0.0297029702970297,0.0792079207920792,0.0198019801980198,0,0.0297029702970297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,3,0,1,212,0,0,0,0.00943396226415094,0.0283018867924528,0.0188679245283019,0.0380986937590711,0.0411223996129656,0.0967585873246251,0.16352201257861632,0.18541364296081292,0.2227866473149497,0.1071601354620222,0.108490566037736,0.0977261731978713,0.0835752298016449,0.0805515239477503,0.0556361877116594,0.06071601354620224,0.07522980164489597,0.09917755200774064,0.04317851959361397,0.0833333333333333,0.08805031446540877,0.05599903241412677,0.0384615384615385,0.0256410256410256,0.0384615384615385,0.0192307692307692,0.02394775036284467,0.00641025641025641,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,3,0,1,461,0,0,0,0,0,0,0.02020622232787567,0.0151843817787419,0.0332214067096544,0.1436127536920928,0.1400766647847146,0.11348171039729,0.15823254984696788,0.1185035509464238,0.1293495379312396,0.061420972870175,0.1342525183490328,0.061420972870175,0.1529729890351525,0.1053695064333046,0.1371051615012035,0.14863459424122621,0.077972246159332,0.0995453599976228,0.0562802721897008,0.0332214067096544,0.0245446171218019,0.00867678958785249,0.00650759219088937,0.00216919739696312,0.01586782753394942,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,3,0,1,349,0,0,0,0,0,0.00286532951289398,0.00286532951289398,0.02109598853868195,0.0171919770773639,0.1208452722063037,0.17736389684813753,0.22632521489971352,0.2148638968481375,0.19090257879656158,0.2224212034383954,0.1888252148997135,0.0869985673352436,0.0718839541547278,0.0630372492836676,0.0929799426934097,0.046883954154727805,0.0622492836676218,0.0651146131805158,0.0354226361031519,0.0143266475644699,0.0239613180515759,0.0200573065902579,0.0114613180515759,0.00286532951289398,0.00573065902578797,0.00573065902578797,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,3,0,1,360,0,0.00277777777777778,0,0.02746913580246918,0.0493827160493827,0.037037037037037,0.07962962962962966,0.06450617283950617,0.0632716049382716,0.11018518518518519,0.0858024691358025,0.1410493827160494,0.1478395061728395,0.09290123456790131,0.1919753086419757,0.1092592592592592,0.1256172839506173,0.1558641975308641,0.0941358024691358,0.09012345679012351,0.0759259259259259,0.0771604938271605,0.056481481481481396,0.0509259259259259,0.00833333333333333,0.0166666666666667,0.0138888888888889,0.01790123456790126,0.00277777777777778,0.00555555555555556,0.00277777777777778,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,3,0,1,180,0,0,0,0.00555555555555556,0.0111111111111111,0,0.0111111111111111,0.06805555555555556,0.0902777777777778,0.1236111111111111,0.2743055555555556,0.225,0.168055555555556,0.241666666666667,0.20833333333333331,0.1402777777777778,0.0666666666666667,0.0555555555555556,0.08680555555555561,0.0666666666666667,0.0423611111111111,0.0388888888888889,0.059027777777777804,0.00555555555555556,0,0.00555555555555556,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,3,0,1,54,0,0,0,0,0,0,0,0.0952380952380952,0.2566137566137565,0.21693121693121709,0.1216931216931217,0.148148148148148,0.0925925925925926,0.0740740740740741,0,0.1587301587301586,0.22486772486772522,0.0555555555555556,0.0846560846560846,0,0.1507936507936508,0,0.0476190476190476,0.0185185185185185,0.0476190476190476,0.1031746031746032,0.037037037037037,0.0476190476190476,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,3,0,1,231,0,0,0,0,0.00432900432900433,0,0.00432900432900433,0.0352092352092352,0.0303030303030303,0.24761904761904763,0.1982683982683979,0.2421356421356426,0.262626262626263,0.2008658008658007,0.2002886002886004,0.121212121212121,0.2242424242424239,0.057431457431457396,0.0216450216450216,0.03088023088023086,0.0352092352092352,0,0.012987012987013,0.00432900432900433,0.026551226551226527,0.00432900432900433,0.0222222222222222,0,0.00432900432900433,0.00432900432900433,0,0.00432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
